,index,SongID,Performer,Song,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_duration_ms,spotify_track_explicit,spotify_track_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,spotify_track_popularity,Popularity Points Awarded,Has Word Love?
7,7,'65 Love AffairPaul Davis,Paul Davis,'65 Love Affair,"['album rock', 'bubblegum pop', 'country rock', 'folk rock', 'mellow gold', 'new wave pop', 'soft rock', 'yacht rock']",5nBp8F6tekSrnFg8G2Pvug,https://p.scdn.co/mp3-preview/a701445830ecacfb521200da9507753586200453?cid=b8d3901151d34489a160e3cf0ab1fa94,219813.0,False,Radio Hits Of the '80s,0.647,0.686,2.0,-4.247,0.0,0.0274,0.432,6e-06,0.133,0.952,155.697,4.0,40.0,1300.0,True
38,38,(Can't Live Without Your) Love And AffectionNelson,Nelson,(Can't Live Without Your) Love And Affection,"['classic country pop', 'country', 'nashville sound', 'outlaw country', 'singer-songwriter', 'texas country']",3JjY2L2bqql54j1SjnjQ23,,236435.0,False,After The Rain (Remastered),0.543,0.902,1.0,-6.344,1.0,0.0393,0.0354,0.0,0.0609,0.8549999999999999,121.419,4.0,47.0,1598.0,True
48,48,(Doin' The) Lovers LeapWebb Pierce,Webb Pierce,(Doin' The) Lovers Leap,"['honky tonk', 'rockabilly']",,,,,,,,,,,,,,,,,,,13.0,True
52,52,(Every Time I Turn Around) Back In Love AgainLTD,LTD,(Every Time I Turn Around) Back In Love Again,['reggaeton'],,,,,,,,,,,,,,,,,,,1330.0,True
59,59,"(Girls, Girls, Girls) Made To LoveEddie Hodges",Eddie Hodges,"(Girls, Girls, Girls) Made To Love",[],4PeZdZt3Mf46SfsL6Gj1EY,https://p.scdn.co/mp3-preview/6d5a4642f5e2503d56c7b45c22a82adf56737020?cid=b8d3901151d34489a160e3cf0ab1fa94,150666.0,False,Hit Singles - EP,0.61,0.377,9.0,-9.805,1.0,0.0935,0.4139999999999999,0.0,0.0734,0.519,178.06,4.0,16.0,754.0,True
71,71,(I Believe) There's Nothing Stronger Than Our LovePaul Anka/Odia Coates,Paul Anka/Odia Coates,(I Believe) There's Nothing Stronger Than Our Love,,,,,,,,,,,,,,,,,,,,868.0,True
72,72,(I Can Feel Those Vibrations) This Love Is RealJackie Wilson,Jackie Wilson,(I Can Feel Those Vibrations) This Love Is Real,"['adult standards', 'brill building pop', 'chicago soul', 'classic soul', 'motown', 'quiet storm', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']",2QM3bCcmAwiuwDvhIispV8,https://p.scdn.co/mp3-preview/341d37a9332998e830abfbcdb46bf65a6dd8139c?cid=b8d3901151d34489a160e3cf0ab1fa94,175146.0,False,The Ultimate Jackie Wilson,0.63,0.8,2.0,-6.002,1.0,0.15,0.4289999999999999,0.0,0.3,0.7359999999999999,120.811,4.0,26.0,305.0,True
73,73,(I Can Feel Your Love) Slipping AwayBarbara Mason,Barbara Mason,(I Can Feel Your Love) Slipping Away,"['classic soul', 'funk', 'motown', 'philly soul', 'quiet storm', 'southern soul']",37kJMIJyTv96Tns8QgsOJn,https://p.scdn.co/mp3-preview/0692f0732a4bf399249151bcc57edd0d62138b5b?cid=b8d3901151d34489a160e3cf0ab1fa94,199626.0,False,Cooler Than Ice: Arctic Records and the Rise of Philly Soul,0.44,0.4269999999999999,0.0,-5.455,1.0,0.0254,0.563,0.0,0.2949999999999999,0.335,77.412,3.0,16.0,4.0,True
79,79,(I Don't Care) Only Love MeSteve Lawrence,Steve Lawrence,(I Don't Care) Only Love Me,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'lounge', 'vocal jazz']",2tve82MQkxXX1WsdxpI4sk,,153600.0,False,The Best Of,0.56,0.516,5.0,-12.275,0.0,0.183,0.468,0.000107,0.1729999999999999,0.8249999999999998,141.812,4.0,13.0,85.0,True
80,80,(I Don't Want To Love You But) You Got Me AnywaySutherland Brothers And Quiver,Sutherland Brothers And Quiver,(I Don't Want To Love You But) You Got Me Anyway,['classic uk pop'],,,,,,,,,,,,,,,,,,,429.0,True
88,88,(I Love You) Don't You Forget ItPerry Como,Perry Como,(I Love You) Don't You Forget It,"['adult standards', 'brill building pop', 'easy listening', 'vocal jazz']",,,,,,,,,,,,,,,,,,,370.0,True
92,92,(I Wanna) Love My Life AwayGene Pitney,Gene Pitney,(I Wanna) Love My Life Away,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'folk rock', 'merseybeat', 'rock-and-roll']",1fNR9tY52D1V79V5eNqxxx,https://p.scdn.co/mp3-preview/5be4e9acd6d2bf25525372ae5811c06a7f5789a2?cid=b8d3901151d34489a160e3cf0ab1fa94,114906.0,False,The Best Of Gene Pitney,0.548,0.694,0.0,-9.356000000000002,1.0,0.0359,0.811,5.4e-05,0.5959999999999999,0.924,136.36,4.0,26.0,341.0,True
114,114,(if You Add) All The Love In The WorldMac Davis,Mac Davis,(if You Add) All The Love In The World,"['bubblegum pop', 'country rock']",1P7yXlWH1VjAlu8x1cawmb,https://p.scdn.co/mp3-preview/e2a485c347ff96be72541be9844b5d8509a52615?cid=b8d3901151d34489a160e3cf0ab1fa94,213106.0,False,The Best Of Mac Davis,0.371,0.433,10.0,-10.908,1.0,0.0343,0.66,1.3e-05,0.1029999999999999,0.3589999999999999,159.27,4.0,5.0,147.0,True
115,115,"(If You Cry) True Love, True LoveThe Drifters",The Drifters,"(If You Cry) True Love, True Love","['adult standards', 'brill building pop', 'bubblegum pop', 'lounge', 'mellow gold', 'motown', 'rock-and-roll', 'rockabilly', 'soul']",2mfo3AK0aZzTGcXD0LnLqx,https://p.scdn.co/mp3-preview/be6dadb63180875512f1ab3dbdd1458c5f16920b?cid=b8d3901151d34489a160e3cf0ab1fa94,141426.0,False,Up On The Roof: The Best Of The Drifters,0.511,0.2359999999999999,0.0,-14.496,1.0,0.043,0.67,0.0,0.0953,0.196,141.222,4.0,16.0,583.0,True
